date, pm25, pm10, o3, no2, so2, co
2020/4/2, 19, , 28, 2, , 
2020/4/3, 28, , 35, 3, , 
2020/4/4, 29, , 33, 1, , 
2020/4/5, 28, , 32, 2, , 
2020/4/6, 31, , 26, 2, , 
2020/4/7, 23, , 24, 3, , 
2020/4/8, 29, , 28, 3, , 
2020/4/9, 35, , 26, 2, , 
2020/4/10, 42, , 24, 1, , 
2020/4/11, 34, , 28, 1, , 
2020/4/12, 38, , 37, 1, , 
2020/4/13, 41, , 31, 2, , 
2020/4/14, 42, , 25, 1, , 
2020/4/15, 30, , 29, 2, , 
2020/4/16, 20, , 27, 2, , 
2020/4/17, 25, , 28, 3, , 
2020/4/18, 21, , 31, 2, , 
2020/4/19, 27, , 31, 1, , 
2020/4/20, 17, , 27, 3, , 
2020/4/21, 21, , 28, 3, , 
2020/4/22, 17, , 28, 1, , 
2020/4/23, 18, , 26, 2, , 
2020/4/24, 27, , 30, 2, , 
2020/4/25, 22, , 30, 1, , 
2020/4/26, 28, , 31, 1, , 
2020/4/27, 32, , , , , 
2020/3/2, 17, , 36, 1, , 
2020/3/3, 21, , 25, , , 
2020/3/4, 22, , 28, , , 
2020/3/5, 13, , 34, 4, , 
2020/3/6, 16, , 33, 3, , 
2020/3/7, 12, , 31, 5, , 
2020/3/8, 23, , 23, 8, , 
2020/3/9, 28, , 32, 3, , 
2020/3/10, 19, , 22, 15, , 
2020/3/11, 40, , 22, 16, , 
2020/3/12, 47, , 20, 13, , 
2020/3/13, 48, , 29, 8, , 
2020/3/14, 57, , 33, 2, , 
2020/3/15, 47, , 30, 2, , 
2020/3/16, 48, , 30, 1, , 
2020/3/17, 35, , 28, 2, , 
2020/3/18, 38, , 23, 5, , 
2020/3/19, 63, , 31, 6, , 
2020/3/20, 65, , 26, 2, , 
2020/3/21, 68, , 23, 3, , 
2020/3/22, 54, , 26, 2, , 
2020/3/23, 39, , 28, 2, , 
2020/3/24, 35, , 29, 1, , 
2020/3/25, 40, , 30, 4, , 
2020/3/26, 54, , 37, 1, , 
2020/3/27, 21, , 35, 2, , 
2020/3/28, 37, , 35, 2, , 
2020/3/29, 20, , 36, 3, , 
2020/3/30, 25, , 28, 1, , 
2020/3/31, 36, , 30, 2, , 
2020/4/1, 37, , 28, 3, , 
2020/2/2, 39, , 17, 8, , 
2020/2/3, 54, , 16, 10, , 
2020/2/4, 58, , 25, 12, , 
2020/2/5, 62, , 34, 7, , 
2020/2/6, 36, , 24, 11, , 
2020/2/7, 55, , 19, 17, , 
2020/2/8, 57, , 16, 15, , 
2020/2/9, 77, , 19, 10, , 
2020/2/10, 65, , 11, 18, , 
2020/2/11, 65, , 10, 16, , 
2020/2/12, 65, , 8, 17, , 
2020/2/13, 61, , 10, 18, , 
2020/2/14, 61, , 20, 12, , 
2020/2/15, 54, , 18, 14, , 
2020/2/16, 61, , 23, 14, , 
2020/2/17, 60, , 15, 13, , 
2020/2/18, 56, , 29, 5, , 
2020/2/19, 18, , 33, 11, , 
2020/2/20, 18, , 31, 12, , 
2020/2/21, 32, , 34, 13, , 
2020/2/22, 23, , 29, 16, , 
2020/2/23, 41, , 35, 12, , 
2020/2/24, 28, , 27, 19, , 
2020/2/25, 34, , 30, 15, , 
2020/2/26, 42, , 36, 8, , 
2020/2/27, 16, , 31, 10, , 
2020/2/28, 70, , 27, 16, , 
2020/2/29, 75, , 28, 9, , 
2020/3/1, 50, , 30, 4, , 
2020/1/2, 98, , , , , 
2020/1/8, 58, , 11, 27, , 
2020/1/9, 60, , 16, 33, , 
2020/1/10, 64, , 33, 9, , 
2020/1/11, 39, , 30, 15, , 
2020/1/12, 44, , 18, 25, , 
2020/1/13, 68, , 14, 30, , 
2020/1/14, 73, , 15, 25, , 
2020/1/15, 76, , 15, 20, , 
2020/1/16, 75, , 14, 19, , 
2020/1/17, 74, , 30, 16, , 
2020/1/18, 48, , 17, 14, , 
2020/1/19, 52, , 34, 2, , 
2020/1/20, 31, , 33, 1, , 
2020/1/21, 35, , 29, 1, , 
2020/1/22, 30, , 31, 2, , 
2020/1/23, 55, , 28, 4, , 
2020/1/24, 82, , 23, 7, , 
2020/1/25, 79, , 26, 4, , 
2020/1/26, 50, , 20, 10, , 
2020/1/27, 56, , 12, 11, , 
2020/1/28, 59, , 20, 9, , 
2020/1/29, 36, , 21, 10, , 
2020/1/30, 38, , 23, 9, , 
2020/1/31, 42, , 22, 7, , 
2020/2/1, 49, , 22, 7, , 
2019/10/2, 52, 23, 35, 3, , 
2019/10/3, 43, 15, 32, 9, , 
2019/10/4, 40, 23, 35, 12, , 
2019/10/5, 44, 29, 42, 7, , 
2019/10/6, 48, 26, 43, 4, , 
2019/10/7, 46, 19, 33, 5, , 
2019/10/8, 37, 23, 31, 9, , 
2019/10/9, 40, 30, 36, 6, , 
2019/10/10, 50, 27, 37, 5, , 
2019/10/11, 49, 33, 34, 8, , 
2019/10/12, 53, 30, 33, 4, , 
2019/10/13, 52, 35, 34, 5, , 
2019/10/14, 53, 34, 28, 6, , 
2019/10/15, 57, 14, 31, 8, , 
2019/10/16, 43, 15, 27, 14, , 
2019/10/17, 46, 20, 17, 18, , 
2019/10/18, 50, 23, 20, 10, , 
2019/10/19, 50, 13, 29, 6, , 
2019/10/20, 43, 8, 29, 3, , 
2019/10/21, 36, 6, 33, 5, , 
2019/10/22, 36, 10, 28, 7, , 
2019/10/23, 33, 11, 18, 15, , 
2019/10/24, 38, 13, 27, 12, , 
2019/10/25, 46, 22, 24, 14, , 
2019/10/26, 54, 27, 25, 11, , 
2019/10/27, 58, 18, 29, 8, , 
2019/10/28, 52, 25, 21, 17, , 
2019/10/29, 52, 41, 20, 14, , 
2019/10/30, 62, , 10, 20, , 
2019/11/1, 49, 22, 19, 7, , 
2019/11/2, 40, 18, 26, 3, , 
2019/11/3, 42, 10, 38, 2, , 
2019/11/4, 43, 12, 30, 4, , 
2019/11/5, 49, 16, 33, 3, , 
2019/11/6, 39, 37, 27, 8, , 
2019/11/7, 38, 24, 32, 5, , 
2019/11/8, 36, 21, 30, 5, , 
2019/11/9, 31, 16, 25, 6, , 
2019/11/10, 40, 11, 32, 3, , 
2019/11/11, 37, 13, 26, 11, , 
2019/11/12, 43, 16, 30, 9, , 
2019/11/13, 44, 19, 28, 4, , 
2019/11/14, 36, 12, , 6, , 
2019/11/15, 35, 9, 27, 7, , 
2019/11/16, 34, 13, 29, 6, , 
2019/11/17, 37, 11, 24, 8, , 
2019/11/18, 47, 9, 28, 3, , 
2019/11/19, 40, 15, 20, 18, , 
2019/11/20, 40, 33, 16, 19, , 
2019/11/21, 59, , , , , 
2019/11/23, 32, 10, 36, 3, , 
2019/11/24, 37, 19, 31, 5, , 
2019/11/25, 35, 16, 23, 11, , 
2019/11/26, 50, 17, 15, 13, , 
2019/11/27, 38, 13, 27, 7, , 
2019/11/28, 36, 18, 23, 8, , 
2019/11/29, 41, 17, 23, 11, , 
2019/11/30, 38, 13, 28, 6, , 
2019/12/1, 37, 9, 26, 4, , 
2019/12/2, 36, 6, 30, 2, , 
2019/12/3, 33, 7, 28, 2, , 
2019/12/4, 34, 10, 27, 3, , 
2019/12/5, 42, 9, 28, 3, , 
2019/12/6, 39, 25, 27, 7, , 
2019/12/7, 42, 36, 20, 14, , 
2019/12/8, 50, 34, 7, 19, , 
2019/12/9, 63, 23, 11, 18, , 
2019/12/10, 55, 34, 5, 19, , 
2019/12/11, 65, 35, 24, 19, , 
2019/12/12, 59, 11, 28, 9, , 
2019/12/13, 37, 8, 32, 3, , 
2019/12/14, 37, 15, 24, 10, , 
2019/12/15, 46, 18, 15, 11, , 
2019/12/16, 50, 14, 25, 6, , 
2019/12/17, 39, 18, 22, 12, , 
2019/12/18, 52, 22, 15, 17, , 
2019/12/19, 51, 12, 25, 6, , 
2019/12/20, 37, 7, 29, 6, , 
2019/12/21, 32, 9, 31, 2, , 
2019/12/22, 39, 24, 35, 2, , 
2019/12/23, 51, 31, 31, 14, , 
2019/12/24, 53, 32, 21, 9, , 
2019/12/25, 59, 27, 17, 10, , 
2019/12/26, 51, 42, 24, 8, , 
2019/12/27, 53, 38, 22, 7, , 
2019/12/28, 46, 48, 25, 10, , 
2019/12/29, 45, , 22, 14, , 
2019/12/30, 51, , , , , 
2019/7/2, 59, 30, 62, 3, , 
2019/7/3, 57, 29, 51, 5, , 
2019/7/4, 59, 22, 49, 4, , 
