date, pm25, pm10, o3, no2, so2, co
2020/4/2, 98, 56, 18, 12, 5, 4
2020/4/3, 77, 61, 23, 14, 5, 6
2020/4/4, 80, 73, 22, 16, 7, 4
2020/4/5, 107, 86, 25, 16, 6, 4
2020/4/6, 132, 96, 21, 16, 7, 6
2020/4/7, 129, 77, 19, 13, 4, 5
2020/4/8, 81, 67, 21, 13, 6, 5
2020/4/9, 80, 71, 23, 15, 7, 6
2020/4/10, 94, 90, 24, 17, 7, 6
2020/4/11, 116, 91, 27, 14, 9, 5
2020/4/12, 121, 75, 24, 12, 8, 5
2020/4/13, 92, 107, 24, 15, 10, 6
2020/4/14, 128, 133, 27, 16, 10, 6
2020/4/15, 155, 150, 31, 12, 9, 5
2020/4/16, 145, 151, 42, 14, 12, 7
2020/4/17, 149, 75, 32, 7, 7, 4
2020/4/18, 73, 81, 33, 7, 6, 5
2020/4/19, 74, 69, 33, 8, 7, 5
2020/4/20, 83, 102, 27, 12, 6, 7
2020/4/21, 115, 82, 33, 9, 7, 6
2020/4/22, 108, 118, 37, 11, 7, 5
2020/4/23, 122, 110, 32, 10, 8, 6
2020/4/24, 128, 121, 45, 12, 8, 7
2020/4/25, 149, 86, 36, 8, 5, 4
2020/4/26, 87, 153, 15, 11, 10, 5
2020/4/27, 158, , , , , 
2020/3/2, 117, 114, 15, 20, 7, 10
2020/3/3, 170, 79, 5, 18, 5, 8
2020/3/4, 132, 99, 13, 18, 4, 7
2020/3/5, 152, 39, 10, 14, 5, 5
2020/3/6, 82, 27, 12, 13, 5, 4
2020/3/7, 66, 54, 16, 14, 5, 6
2020/3/8, 108, 67, 17, 17, 5, 
2020/3/9, 137, 71, 17, 14, 5, 5
2020/3/10, 105, 89, 21, 12, 7, 5
2020/3/11, 143, 72, 20, 12, 6, 6
2020/3/12, 140, 79, 18, 14, 5, 5
2020/3/13, 127, 137, 21, 16, 7, 7
2020/3/14, 169, 46, 11, 9, 6, 6
2020/3/15, 100, 66, 17, 11, 5, 5
2020/3/16, 127, 82, 16, 15, 7, 6
2020/3/17, 143, 86, 17, 20, 6, 6
2020/3/18, 127, 86, 26, 22, 7, 7
2020/3/19, 120, 131, 30, 18, 9, 7
2020/3/20, 169, 116, 30, 21, 8, 8
2020/3/21, 162, 158, 31, 24, 14, 8
2020/3/22, 182, 89, 24, 15, 6, 6
2020/3/23, 152, 78, 7, 17, 5, 7
2020/3/24, 152, 69, 25, 15, 7, 5
2020/3/25, 124, 58, 20, 13, 5, 6
2020/3/26, 106, 67, 12, 12, 7, 4
2020/3/27, 120, 46, 12, 12, 4, 4
2020/3/28, 69, 37, 13, 13, 5, 5
2020/3/29, 60, 51, 17, 12, 4, 3
2020/3/30, 70, 60, 18, 13, 5, 4
2020/3/31, 89, 61, 18, 13, 6, 4
2020/4/1, 86, 65, 19, 13, 7, 5
2020/2/2, 181, 101, 3, 22, 4, 10
2020/2/3, 178, 133, 5, 26, 6, 11
2020/2/4, 202, 150, 6, 25, 6, 9
2020/2/5, 228, 143, 6, 23, 6, 9
2020/2/6, 213, 120, 5, 22, 6, 8
2020/2/7, 201, 117, 5, 22, 5, 9
2020/2/8, 192, 133, 5, 23, 7, 7
2020/2/9, 237, 140, 5, 21, 6, 8
2020/2/11, 194, 170, 6, 28, 6, 11
2020/2/12, 215, 159, 7, 22, 8, 8
2020/2/13, 218, 99, 29, 16, 9, 6
2020/2/14, 168, 93, 36, 14, 8, 6
2020/2/15, 153, 107, 42, 19, 12, 5
2020/2/16, 173, 181, 41, 25, 14, 8
2020/2/17, 237, 213, 22, 29, 11, 8
2020/2/18, 242, 160, 45, 28, 13, 9
2020/2/19, 211, 198, 39, 30, 10, 12
2020/2/20, 229, 125, 32, 18, 7, 9
2020/2/21, 189, 50, 25, 11, 5, 5
2020/2/22, 101, 65, 29, 17, 10, 8
2020/2/23, 116, 98, 29, 19, 7, 7
2020/2/24, 163, 80, 28, 22, 8, 6
2020/2/25, 134, 154, 14, 25, 9, 8
2020/2/26, 198, 193, 31, 20, 12, 8
2020/2/27, 216, 132, 37, 20, 6, 8
2020/2/28, 188, 120, 25, 17, 6, 7
2020/2/29, 171, 89, 14, 15, 5, 6
2020/3/1, 140, 61, 24, 16, 5, 5
2020/1/2, 292, 198, 23, 23, 8, 15
2020/1/3, 275, 201, 28, 22, 6, 16
2020/1/4, 260, 203, 25, 22, 5, 13
2020/1/5, 273, 152, 28, 18, 5, 9
2020/1/6, 239, 132, 11, 18, 7, 9
2020/1/7, 226, 83, 11, 13, 4, 9
2020/1/8, 171, 74, 8, 11, 3, 7
2020/1/9, 161, 76, 13, 9, 4, 7
2020/1/10, 161, 103, 17, 13, 5, 8
2020/1/11, 182, 134, 22, 23, 5, 14
2020/1/12, 191, 167, 25, 22, 7, 8
2020/1/13, 227, 180, 5, 19, 3, 10
2020/1/14, 285, 93, 10, 13, 5, 9
2020/1/15, 177, 107, 9, 15, 5, 10
2020/1/16, 183, 112, 4, 14, 5, 9
2020/1/17, 192, 90, 4, 9, 5, 10
2020/1/18, 176, 96, 5, 14, 4, 10
2020/1/19, 174, 96, 3, 7, 4, 6
2020/1/20, 177, 129, , 10, 4, 9
2020/1/21, 199, 222, 11, 18, 7, 20
2020/1/22, 295, 123, 12, 16, 8, 12
2020/1/23, 200, 76, 18, 10, 6, 9
2020/1/24, 142, 86, 15, 13, 6, 8
2020/1/25, 157, 160, 13, 23, 8, 17
2020/1/26, 227, 212, 12, 13, 6, 17
2020/1/27, 283, 143, 4, 21, 7, 15
2020/1/28, 234, 96, 3, 22, 6, 10
2020/1/29, 177, 84, 4, 20, 5, 8
2020/1/30, 155, 79, 4, 21, 5, 7
2020/1/31, 151, 90, 5, 21, 5, 10
2020/2/1, 161, 106, 4, 22, 4, 12
2019/10/2, 125, 42, 18, 17, 9, 6
2019/10/3, 89, 71, 20, 16, 7, 6
2019/10/4, 128, 59, 27, 17, 7, 6
2019/10/5, 113, 67, 11, 15, 6, 6
2019/10/6, 98, 79, , 17, 5, 7
2019/10/7, 132, 77, , 14, 6, 5
2019/10/8, 123, 67, , 11, 5, 4
2019/10/9, 101, 87, 38, 12, 10, 6
2019/10/10, 148, 123, 43, 19, 10, 8
2019/10/11, 179, 112, 47, 20, 8, 7
2019/10/12, 164, 114, , 34, 7, 9
2019/10/13, 171, 148, 36, 25, 8, 8
2019/10/14, 198, 146, 37, 24, 8, 10
2019/10/15, 189, 155, 62, 27, 7, 12
2019/10/16, 197, 144, 49, 23, 7, 10
2019/10/17, 203, 127, 57, 23, 7, 9
2019/10/18, 188, 125, 44, 26, 7, 9
2019/10/19, 181, 83, 41, 28, 8, 7
2019/10/20, 146, 105, 27, 26, 7, 7
2019/10/21, 155, 131, 36, 26, 7, 8
2019/10/22, 179, 138, 31, 28, 10, 9
2019/10/23, 174, 154, 41, 34, 10, 9
2019/10/24, 190, 166, 49, 29, 10, 11
2019/10/25, 231, 132, 53, 31, 9, 9
2019/10/26, 199, 162, 58, 34, 10, 12
2019/10/27, 217, 213, 41, 31, 9, 13
2019/10/28, 258, 188, 43, 25, 11, 12
2019/10/29, 273, 268, 26, 33, 9, 16
2019/10/30, 331, 385, 27, 46, 10, 19
2019/10/31, 361, 450, 4, 48, 11, 22
2019/11/1, 393, 442, 44, 40, 11, 16
2019/11/2, 399, 336, 28, 34, 12, 4
2019/11/3, 358, 830, , 39, 10, 5
2019/11/4, 660, 365, 8, 19, 10, 4
2019/11/5, 357, 257, , 26, 11, 4
2019/11/6, 289, 145, , 35, 9, 5
2019/11/7, 183, 153, , 32, 10, 2
2019/11/8, 221, 122, 2, 31, 10, 4
2019/11/9, 187, 143, , 27, 10, 3
2019/11/10, 196, 176, , 30, 11, 4
2019/11/11, 250, 265, , 36, 13, 4
2019/11/12, 304, 429, , 40, 10, 4
2019/11/13, 412, 420, , 42, 13, 3
2019/11/14, 410, 385, , 48, 12, 8
2019/11/15, 359, 366, , 45, 10, 7
2019/11/16, 343, 157, 2, 25, 9, 3
2019/11/17, 210, 102, 14, 18, 8, 2
2019/11/18, 156, 137, 25, 22, 8, 3
2019/11/19, 199, 160, 32, 31, 9, 5
2019/11/20, 201, 239, 48, 30, 11, 5
2019/11/21, 252, 193, 52, 30, 10, 2
2019/11/22, 244, 262, 54, 40, 13, 4
2019/11/23, 266, 108, 24, 21, 9, 2
2019/11/24, 165, 98, 28, 20, 8, 2
2019/11/25, 153, 118, 36, 22, 9, 2
2019/11/26, 173, 118, 39, 22, 15, 2
2019/11/27, 173, 80, 25, 18, 10, 2
2019/11/28, 129, 45, 17, 12, 5, 2
2019/11/29, 75, 56, 25, 17, 4, 3
2019/11/30, 104, 102, 23, 25, 6, 6
2019/12/1, 165, 128, 18, 25, 5, 6
2019/12/2, 182, , , , , 
2019/12/4, 198, 206, 43, 42, 11, 10
2019/12/5, 263, 294, 48, 55, 9, 16
2019/12/6, 323, 280, 34, 52, 14, 11
2019/12/7, 322, 215, 32, 39, 8, 15
2019/12/8, 224, 317, 31, 40, 8, 18
2019/12/9, 320, 255, 32, 41, 7, 18
2019/12/10, 285, 264, 39, 41, 7, 14
2019/12/11, 299, 334, 45, 39, 9, 20
2019/12/12, 381, 241, 16, 31, 7, 13
2019/12/13, 339, 78, 19, 16, 7, 7
2019/12/14, 165, 61, 21, 16, 6, 6
2019/12/15, 128, 90, 17, 17, 6, 7
2019/12/16, 167, 75, 11, 19, 5, 6
2019/12/17, 159, 84, 13, 28, 5, 8
2019/12/18, 176, 106, 23, 28, 5, 8
2019/12/19, 192, 231, 14, 37, 5, 16
2019/12/20, 317, 296, 11, 42, 7, 18
2019/12/21, 355, 183, 10, 51, 5, 12
2019/12/22, 257, 105, 11, 38, 4, 10
2019/12/23, 188, 147, 8, 33, 5, 15
2019/12/24, 230, 194, 14, 32, 6, 14
2019/12/25, 264, 118, 9, 27, , 7
2019/12/26, 194, 131, 14, 29, , 9
2019/12/27, 209, 184, 6, 27, 5, 9
2019/12/28, 243, 192, 11, 25, 6, 9
2019/12/29, 268, 198, 18, 22, 5, 10
2019/12/30, 281, , , , , 
2019/7/2, 145, 119, 30, 15, 4, 4
2019/7/3, 149, 84, 24, 17, 4, 4
2019/7/4, 125, 58, 13, 17, 5, 4
2019/7/5, 106, 59, 21, 22, 14, 5
2019/7/6, 126, 59, 30, 23, 10, 4
2019/7/7, 116, 56, 31, 14, 12, 4
2019/7/8, 117, 92, 38, 18, 9, 5
2019/7/9, 139, 80, 18, 20, 7, 4
2019/7/10, 121, 268, 18, 20, 9, 11
2019/7/11, 160, 297, 16, 14, 8, 3
