date, pm25, pm10, o3, no2, so2, co
2020/4/2, 27, , 33, 4, , 
2020/4/3, 25, , 33, 10, , 
2020/4/4, 34, , 34, 8, , 
2020/4/5, 32, , 24, 3, , 
2020/4/6, 16, , 27, 2, , 
2020/4/7, 11, , 27, 3, , 
2020/4/8, 14, , 23, 6, , 
2020/4/9, 17, , 24, 8, , 
2020/4/10, 13, , 29, 7, , 
2020/4/11, 23, , 32, 8, , 
2020/4/12, 41, , 27, 5, , 
2020/4/13, 29, , 30, 3, , 
2020/4/14, 27, , 38, 9, , 
2020/4/15, 43, , 41, 8, , 
2020/4/16, 41, , 40, 10, , 
2020/4/17, 36, , 25, 3, , 
2020/4/18, 22, , 23, 3, , 
2020/4/19, 28, , 30, 7, , 
2020/4/20, 38, , 30, 2, , 
2020/4/21, 29, , 34, 3, , 
2020/4/22, 34, , 37, 9, , 
2020/4/23, 50, , 35, 8, , 
2020/4/24, 40, , 39, 7, , 
2020/4/25, 38, , 43, 7, , 
2020/4/26, 46, , 32, 12, , 
2020/4/27, 53, , , , , 
2020/3/2, 32, , 18, 11, , 
2020/3/3, 39, , 35, 15, , 
2020/3/4, 33, , 38, 20, , 
2020/3/5, 51, , 40, 16, , 
2020/3/6, 50, , 37, 15, , 
2020/3/7, 53, , 27, 2, , 
2020/3/8, 17, , 27, 2, , 
2020/3/9, 8, , 27, 7, , 
2020/3/10, 23, , 21, 9, , 
2020/3/11, 37, , 23, 6, , 
2020/3/12, 48, , 28, 10, , 
2020/3/13, 56, , 31, 4, , 
2020/3/14, 23, , 28, 3, , 
2020/3/15, 22, , 28, 4, , 
2020/3/16, 16, , 26, 5, , 
2020/3/17, 15, , 30, 11, , 
2020/3/18, 23, , 30, 7, , 
2020/3/19, 17, , 26, 8, , 
2020/3/20, 25, , 29, 6, , 
2020/3/21, 19, , 30, 2, , 
2020/3/22, 27, , 30, 5, , 
2020/3/23, 27, , 31, 3, , 
2020/3/24, 11, , 27, 1, , 
2020/3/25, 19, , 28, 2, , 
2020/3/26, 11, , 30, 4, , 
2020/3/27, 11, , 30, 10, , 
2020/3/28, 25, , 30, 9, , 
2020/3/29, 40, , 31, 3, , 
2020/3/30, 24, , 32, 9, , 
2020/3/31, 29, , 31, 9, , 
2020/4/1, 37, , 28, 6, , 
2020/2/2, 82, , 29, 9, , 
2020/2/3, 77, , 26, 11, , 
2020/2/4, 23, , 23, 18, , 
2020/2/5, 34, , 25, 18, , 
2020/2/6, 52, , 27, 21, , 
2020/2/7, 61, , 30, 23, , 
2020/2/8, 68, , 32, 17, , 
2020/2/9, 69, , 25, 10, , 
2020/2/10, 42, , 24, 16, , 
2020/2/11, 48, , 28, 22, , 
2020/2/12, 44, , 32, 20, , 
2020/2/13, 43, , 32, 20, , 
2020/2/14, 48, , 34, 20, , 
2020/2/15, 71, , 36, 19, , 
2020/2/16, 75, , 36, 14, , 
2020/2/17, 66, , 30, 14, , 
2020/2/18, 48, , 31, 15, , 
2020/2/19, 52, , 34, 16, , 
2020/2/20, 60, , 33, 20, , 
2020/2/21, 60, , 32, 16, , 
2020/2/22, 72, , 28, 9, , 
2020/2/23, 52, , 29, 8, , 
2020/2/24, 43, , 30, 12, , 
2020/2/25, 55, , 32, 13, , 
2020/2/26, 54, , 32, 18, , 
2020/2/27, 48, , 33, 18, , 
2020/2/28, 48, , 35, 20, , 
2020/2/29, 61, , 37, 14, , 
2020/3/1, 41, , 32, 2, , 
2020/1/2, 97, , 15, 18, , 
2020/1/3, 90, , 18, 15, , 
2020/1/4, 77, , 24, 12, , 
2020/1/5, 70, , 16, 12, , 
2020/1/6, 64, , 15, 10, , 
2020/1/7, 51, , 9, 14, , 
2020/1/8, 65, , 16, 10, , 
2020/1/9, 48, , 19, 15, , 
2020/1/10, 43, , 19, 13, , 
2020/1/11, 48, , 21, 9, , 
2020/1/12, 62, , 23, 12, , 
2020/1/13, 50, , 21, 13, , 
2020/1/14, 35, , 22, 11, , 
2020/1/15, 47, , 20, 14, , 
2020/1/16, 65, , 25, 12, , 
2020/1/17, 57, , 23, 13, , 
2020/1/18, 25, , 15, 12, , 
2020/1/19, 58, , 16, 5, , 
2020/1/20, 68, , 8, 10, , 
2020/1/21, 79, , 25, 14, , 
2020/1/22, 60, , 25, 23, , 
2020/1/23, 48, , 15, 14, , 
2020/1/24, 61, , 9, 16, , 
2020/1/25, 75, , 22, 13, , 
2020/1/26, 69, , 18, 11, , 
2020/1/27, 72, , 24, 12, , 
2020/1/28, 44, , 18, 14, , 
2020/1/29, 50, , 14, 17, , 
2020/1/30, 60, , 22, 15, , 
2020/1/31, 47, , 22, 15, , 
2020/2/1, 61, , 26, 17, , 
2019/10/2, 29, , 40, 14, , 
2019/10/3, 34, , 45, 17, , 
