date, pm25, pm10, o3, no2, so2, co
2020/4/2, 35, 35, 35, 10, 1, 2
2020/4/3, 60, 39, 40, 11, 1, 2
2020/4/4, 65, 119, 38, 5, 1, 2
2020/4/5, 84, 68, 43, 14, 2, 4
2020/4/6, 86, 93, 55, 26, 3, 5
2020/4/7, 152, 83, 37, 21, 3, 5
2020/4/8, 126, 53, 33, 15, 3, 4
2020/4/9, 76, 46, 38, 8, 1, 4
2020/4/10, 103, 47, 53, 11, , 3
2020/4/11, 117, 39, 43, 9, , 3
2020/4/12, 79, 45, 44, 6, , 1
2020/4/13, 69, 60, 44, 17, 1, 4
2020/4/14, 88, 81, 82, 23, 3, 5
2020/4/15, 153, 74, 77, 13, 2, 4
2020/4/16, 151, 66, 43, 5, , 3
2020/4/17, 83, 40, 58, 6, , 3
2020/4/18, 80, 43, 56, 10, , 2
2020/4/19, 100, 49, 74, 8, , 3
2020/4/20, 122, 30, 38, 2, , 1
2020/4/21, 39, 34, 35, 2, , 1
2020/4/22, 40, 22, 36, 2, , 1
2020/4/23, 36, 20, 36, 3, , 1
2020/4/24, 35, 98, 41, 6, , 1
2020/4/25, 65, 53, 39, 3, , 1
2020/4/26, 55, 32, 40, 11, , 2
2020/4/27, 94, 62, 23, 20, 3, 14
2020/4/28, 156, , , , , 
2020/3/2, 72, 25, 29, 14, 2, 5
2020/3/3, 80, 15, 25, 6, 1, 4
2020/3/4, 99, 15, 31, 5, 1, 2
2020/3/5, 47, 44, 35, 12, 2, 4
2020/3/6, 110, 67, 27, 23, 3, 7
2020/3/7, 168, 43, 39, 10, 2, 6
2020/3/8, 135, , 22, 13, 1, 9
2020/3/9, 171, 28, 28, 12, 1, 7
2020/3/10, 129, 30, 32, 8, 1, 2
2020/3/11, 52, 45, 25, 22, 2, 4
2020/3/12, 92, 38, 34, 14, 2, 5
2020/3/13, 74, 22, 32, 6, , 2
2020/3/14, 42, 35, 35, 5, 1, 1
2020/3/15, 36, 32, 37, 4, , 1
2020/3/16, 34, 60, 32, 10, 1, 3
2020/3/17, 87, 55, 42, 17, 1, 5
2020/3/18, 100, 108, 35, 18, 2, 6
2020/3/19, 119, 47, 37, 3, , 2
2020/3/20, 39, 60, 34, 17, 2, 3
2020/3/21, 94, 73, 38, 10, 4, 3
2020/3/22, 86, 60, 47, 10, 2, 3
2020/3/23, 98, 58, 36, 16, 2, 3
2020/3/24, 102, 57, 40, 18, 7, 8
2020/3/25, 121, 73, 54, 27, 6, 9
2020/3/26, 192, 25, 31, 4, 1, 3
2020/3/27, 39, 25, 33, 4, 1, 2
2020/3/28, 17, 26, 32, 8, , 1
2020/3/29, 37, 63, 42, 17, 3, 4
2020/3/30, 122, 69, 42, 16, 3, 6
2020/3/31, 156, 62, 45, 12, 2, 3
2020/4/1, 151, 21, 35, 4, , 1
2020/2/2, 30, 25, 28, 5, 1, 3
2020/2/3, 85, 24, 29, 6, 1, 2
2020/2/4, 79, 19, 29, 6, 1, 2
2020/2/5, 38, 33, 19, 10, 1, 6
2020/2/6, 87, 31, 17, 10, 2, 10
2020/2/7, 119, 2, 18, 16, 2, 10
2020/2/8, 160, 24, 31, 17, 3, 9
2020/2/9, 127, , 23, 23, 1, 13
2020/2/10, 193, , 35, 25, 2, 13
2020/2/11, 195, , 41, 28, 5, 23
2020/2/12, 244, , 50, 27, 3, 23
2020/2/13, 253, , 19, 27, 2, 21
2020/2/14, 261, , 26, 8, 1, 9
2020/2/15, 112, 11, 30, 2, 1, 2
2020/2/16, 29, 7, 32, 2, 1, 2
2020/2/17, 18, 12, 31, 5, 1, 2
2020/2/18, 27, 21, 29, 17, 1, 3
2020/2/19, 55, 32, 29, 20, 5, 10
2020/2/20, 126, , 29, 13, 4, 11
2020/2/21, 176, 84, 33, 12, 1, 7
2020/2/22, 135, 14, 35, 5, , 2
2020/2/23, 25, 47, 24, 19, 2, 5
2020/2/24, 110, 73, 25, 18, 5, 9
2020/2/25, 150, 60, 30, 11, 5, 8
2020/2/26, 127, 36, 37, 8, 3, 4
2020/2/27, 94, 31, 26, 11, 1, 4
2020/2/28, 79, 45, 35, 12, 1, 5
2020/2/29, 138, , 11, 15, 1, 12
2020/3/1, 167, 16, 31, 10, 1, 10
2020/1/2, 93, 64, 5, 31, 4, 11
2020/1/3, 132, 51, 9, 33, 4, 11
2020/1/4, 124, 45, 23, 27, 4, 9
2020/1/5, 98, 63, 5, 32, 5, 13
2020/1/6, 152, 21, 12, 25, 2, 9
2020/1/7, 149, 19, 24, 11, 2, 3
2020/1/8, 57, 24, 28, 14, 1, 4
2020/1/9, 63, 32, 16, 25, 3, 6
2020/1/10, 127, 33, 27, 19, 4, 5
2020/1/11, 83, 20, 23, 12, 1, 3
2020/1/12, 47, 27, 21, 17, 4, 4
2020/1/13, 67, 22, 27, 8, 2, 4
2020/1/14, 51, 26, 23, 15, 2, 3
2020/1/15, 62, 54, 12, 29, 4, 8
2020/1/16, 127, 48, 25, 24, 5, 9
2020/1/17, 107, 73, 10, 34, 8, 15
2020/1/18, 165, 119, 9, 34, 3, 21
2020/1/19, 251, 58, 28, 11, 1, 5
2020/1/20, 94, 26, 25, 8, 1, 3
2020/1/21, 40, 54, 20, 21, 4, 8
2020/1/22, 132, 60, 17, 26, 5, 11
2020/1/23, 158, 51, 31, 18, 4, 9
2020/1/24, 126, 62, 33, 8, 3, 6
2020/1/25, 154, 99, 31, 14, 5, 8
2020/1/26, 206, 108, 31, 21, 7, 16
2020/1/27, 231, , 33, 21, 8, 19
2020/1/28, 235, , 48, 21, 8, 20
2020/1/29, 245, 38, 34, 17, 5, 12
2020/1/30, 154, 50, 35, 15, 3, 8
2020/1/31, 133, 41, 33, 17, 3, 9
2020/2/1, 120, 14, 32, 4, 1, 3
2019/10/2, 128, 60, 82, 11, 2, 9
2019/10/3, 140, 69, 116, 14, 1, 8
2019/10/4, 148, 29, 25, 6, 1, 4
2019/10/5, 46, 16, 30, 8, 1, 2
2019/10/6, 31, 37, 20, 18, 1, 4
