date, pm25, pm10, o3, no2, so2, co
2020/4/2, 52, 27, 40, 25, 2, 7
2020/4/3, 55, 30, 38, 29, 3, 7
2020/4/4, 71, 16, 39, 22, 2, 7
2020/4/5, 47, 20, 33, 17, 2, 6
2020/4/6, 56, 20, 38, 31, 3, 7
2020/4/7, 56, 15, 32, 32, 3, 8
2020/4/8, 42, 27, 38, 29, 3, 6
2020/4/9, 59, 36, 46, 40, 3, 6
2020/4/10, 63, 35, 54, 22, 3, 6
2020/4/11, 65, 52, 41, 39, 4, 7
2020/4/12, 82, 23, 50, 35, 3, 7
2020/4/13, 50, 27, 51, 32, 4, 5
2020/4/14, 57, 39, 48, 44, 4, 6
2020/4/15, 71, 45, 63, 55, 4, 7
2020/4/16, 87, 36, 39, 44, 4, 6
2020/4/17, 75, 31, 33, 37, 3, 7
2020/4/18, 63, 37, 26, 37, 3, 6
2020/4/19, 70, 32, 19, 31, 4, 6
2020/4/20, 64, 22, 16, 23, 4, 6
2020/4/21, 49, 17, 15, 21, 2, 6
2020/4/22, 48, 16, 35, 27, 2, 6
2020/4/23, 42, 15, 35, 28, 2, 6
2020/4/24, 41, 19, 16, 35, 2, 7
2020/4/25, 47, 33, 21, 37, 3, 7
2020/4/26, 76, 62, 121, 56, 5, 8
2020/4/27, 148, 84, 66, 78, 6, 
2020/4/28, 170, , , , , 
2020/3/2, 74, 32, 34, 31, 2, 
2020/3/3, 68, 31, 34, 20, 1, 
2020/3/4, 64, 21, 37, 31, 2, 7
2020/3/5, 54, 14, 28, 24, 1, 7
2020/3/6, 41, 31, 34, 27, 2, 6
2020/3/7, 70, 46, 31, 33, 1, 6
2020/3/8, 89, 31, 21, 25, 1, 6
2020/3/9, 76, 31, 18, 28, 1, 6
2020/3/10, 70, 27, 43, 44, 2, 7
2020/3/11, 53, 28, 40, 24, 1, 7
2020/3/12, 64, 56, 42, 32, , 7
2020/3/13, 96, 61, 18, 34, 1, 7
2020/3/14, 132, 27, 33, 34, 2, 8
2020/3/15, 62, 43, 44, 25, 1, 7
2020/3/16, 89, 48, 50, 31, 1, 6
2020/3/17, 80, 52, 48, 36, 1, 6
2020/3/18, 78, 44, 39, 44, 2, 6
2020/3/19, 86, 32, 23, 42, 2, 7
2020/3/20, 75, 36, 26, 34, 1, 7
2020/3/21, 84, 58, 34, 36, 1, 7
2020/3/22, 97, 34, 20, 30, 2, 7
2020/3/23, 76, 30, 32, 34, 4, 7
2020/3/24, 70, 37, 42, 26, 1, 6
2020/3/25, 71, 32, 36, 28, 2, 6
2020/3/26, 66, 32, 27, 32, 2, 7
2020/3/27, 76, 28, 19, 32, 3, 7
2020/3/28, 70, 25, 26, 32, 3, 7
2020/3/29, 62, 29, 28, 16, 2, 6
2020/3/30, 45, 21, 26, 26, 3, 6
2020/3/31, 55, 18, 9, 26, 3, 7
2020/4/1, 52, 22, 26, 24, 3, 8
2020/2/2, 78, 39, 43, 22, 2, 8
2020/2/3, 85, 34, 37, 30, 2, 7
2020/2/4, 69, 30, 33, 29, 2, 7
2020/2/5, 70, 25, 32, 24, 2, 8
2020/2/6, 58, 32, 36, 26, 2, 7
2020/2/7, 66, 43, 30, 32, 3, 7
2020/2/8, 79, 17, 16, 25, 2, 8
2020/2/9, 42, 23, 16, 23, 2, 8
2020/2/10, 56, 35, 18, 32, 3, 8
2020/2/11, 75, 43, 30, 35, 2, 8
2020/2/12, 86, 54, 27, 40, 4, 8
2020/2/13, 105, 27, 11, 36, 3, 8
2020/2/14, 63, 24, 15, 30, 2, 8
2020/2/15, 58, 37, 16, 26, 2, 8
2020/2/16, 73, 12, 21, 25, 2, 
2020/2/17, 31, 19, 25, 36, 3, 8
2020/2/18, 47, 25, 31, 37, 2, 7
2020/2/19, 48, 32, 37, 31, 2, 7
2020/2/20, 59, 31, 38, 34, 2, 8
2020/2/21, 64, 25, 37, 31, 1, 7
2020/2/22, 54, 39, 41, 50, 3, 8
2020/2/23, 79, 35, 45, 18, 1, 8
2020/2/24, 72, 48, 44, 29, 1, 8
2020/2/25, 74, 40, 35, 36, 2, 8
2020/2/26, 67, 38, 14, 39, 4, 8
2020/2/27, 70, 32, 35, 28, 2, 9
2020/2/28, 61, 29, 38, 30, 1, 8
2020/2/29, 62, 26, 25, 37, 2, 
2020/3/1, 60, 35, 19, 42, 5, 
2020/1/2, 83, 32, 33, 37, 3, 7
2020/1/3, 73, 47, 34, 45, 3, 8
2020/1/4, 96, 46, 39, 45, 3, 7
2020/1/5, 101, 29, 38, 24, 3, 6
2020/1/6, 68, 29, 33, 33, 3, 6
2020/1/7, 62, 37, 30, 50, 4, 9
2020/1/8, 69, 35, 38, 46, 4, 9
2020/1/9, 64, 42, 44, 35, 2, 8
2020/1/10, 73, 45, 39, 40, 2, 8
2020/1/11, 88, 49, 35, 44, 3, 7
2020/1/12, 97, 44, 32, 37, 3, 
2020/1/13, 79, 35, 32, 35, 2, 
2020/1/14, 72, 39, 40, 39, 2, 8
2020/1/15, 83, 47, 39, 33, 2, 7
2020/1/16, 88, 49, 33, 33, 2, 8
2020/1/17, 103, 42, 20, 45, 4, 
2020/1/18, 77, 28, 26, 33, 2, 
2020/1/19, 62, 39, 30, 28, 2, 8
2020/1/20, 85, 36, 25, 42, 2, 8
2020/1/21, 80, 39, 36, 36, 2, 
2020/1/22, 85, 41, 43, 40, 2, 8
2020/1/23, 91, 36, 28, 38, 2, 8
2020/1/24, 78, 29, 26, 28, 1, 8
2020/1/25, 72, 20, 30, 19, 1, 8
2020/1/26, 57, 14, 18, 23, 2, 8
2020/1/27, 43, 14, 20, 27, 2, 8
2020/1/28, 39, 15, 22, 31, 3, 7
2020/1/29, 45, 24, 29, 38, 3, 8
2020/1/30, 64, 25, 32, 42, 4, 7
2020/1/31, 69, 29, 37, 40, 3, 7
2020/2/1, 77, 36, 39, 31, 2, 8
2019/10/2, 142, 51, 71, 50, 3, 9
2019/10/3, 119, 35, 48, 43, 3, 8
2019/10/4, 86, 28, 33, 37, 3, 7
2019/10/5, 75, 25, 24, 37, 4, 7
2019/10/6, 67, 23, 39, 19, 3, 5
2019/10/7, 60, 30, 36, 20, 2, 6
2019/10/8, 68, 34, 42, 35, 3, 7
2019/10/9, 77, 39, 49, 35, 2, 7
2019/10/10, 84, 34, 46, 42, 2, 8
2019/10/11, 77, 45, 106, 65, 4, 10
2019/10/12, 105, 50, 81, 59, 4, 10
